New York, New York	8175031
Los Angeles, California	3793139
Chicago, Illinois	2695652
Houston, Texas	2095517
Philadelphia, Pennsylvania	1526012
Phoenix, Arizona	1446691
San Antonio, Texas	1326161
San Diego, California	1301929
Dallas, Texas	1197658
San Jose, California	952528
Jacksonville, Florida	821750
Indianapolis, Indiana	820457
Austin, Texas	801829
San Francisco, California	805184
Columbus, Ohio	789018
Fort Worth, Texas	744824
Charlotte, North Carolina	735607
Detroit, Michigan	713898
Memphis, Tennessee	651873
El Paso, Texas	648245
Boston, Massachusetts	617792
Baltimore, Maryland	620770
Seattle, Washington	608661
Washington, District of Columbia	601767
Nashville-Davidson, Tennessee	603438
Denver, Colorado	599825
Louisville/Jefferson County, Kentucky	595710
Milwaukee, Wisconsin	594498
Portland, Oregon	583793
Las Vegas, Nevada	584489
Oklahoma City, Oklahoma	580462
Albuquerque, New Mexico	546153
Tucson, Arizona	526634
Fresno, California	497172
Sacramento, California	466383
Long Beach, California	462221
Kansas City, Missouri	459902
Omaha, Nebraska	458989
Mesa, Arizona	440092
Virginia Beach, Virginia	437903
Atlanta, Georgia	427059
Colorado Springs, Colorado	417447
Raleigh, North Carolina	404068
Miami, Florida	399481
Cleveland, Ohio	396665
Tulsa, Oklahoma	392004
Oakland, California	390765
Minneapolis, Minnesota	382603
Wichita, Kansas	382437
Arlington, Texas	365098
Bakersfield, California	347817
New Orleans, Louisiana	343828
Urban Honolulu CDP, Hawaii	337721
Tampa, Florida	336150
Anaheim, California	336109
Aurora, Colorado	324659
Santa Ana, California	324774
St. Louis, Missouri	319289
Riverside, California	303933
Pittsburgh, Pennsylvania	305245
Corpus Christi, Texas	305226
Cincinnati, Ohio	297025
Lexington-Fayette, Kentucky	295870
Anchorage, Alaska	291836
Stockton, California	292182
Toledo, Ohio	287357
St. Paul, Minnesota	285112
Newark, New Jersey	277135
Greensboro, North Carolina	268936
Buffalo, New York	261346
Plano, Texas	259859
Lincoln, Nebraska	258794
Henderson, Nevada	257001
Fort Wayne, Indiana	253739
Jersey City, New Jersey	247608
St. Petersburg, Florida	245177
Chula Vista, California	243923
Norfolk, Virginia	242827
Orlando, Florida	238836
Laredo, Texas	235780
Chandler, Arizona	236157
Madison, Wisconsin	233173
Lubbock, Texas	229943
Durham, North Carolina	229892
Winston-Salem, North Carolina	229627
Baton Rouge, Louisiana	229423
Garland, Texas	226908
Glendale, Arizona	226172
Reno, Nevada	225317
Hialeah, Florida	224704
Chesapeake, Virginia	222311
Scottsdale, Arizona	217492
Irving, Texas	216285
North Las Vegas, Nevada	216667
Fremont, California	214074
Irvine, California	212107
Birmingham, Alabama	212585
San Bernardino, California	210422
Rochester, New York	210674
Boise City, Idaho	209384
Spokane, Washington	209455
Gilbert, Arizona	208462
Santa Clarita, California	208778
Fayetteville, North Carolina	200565
Montgomery, Alabama	205501
Des Moines, Iowa	204220
Richmond, Virginia	204375
Modesto, California	203114
Shreveport, Louisiana	200976
Akron, Ohio	199209
Oxnard, California	198047
Tacoma, Washington	198247
Aurora, Illinois	197975
Fontana, California	196458
Yonkers, New York	196026
Augusta-Richmond County, Georgia	195859
Mobile, Alabama	194659
Moreno Valley, California	193305
Little Rock, Arkansas	193538
Glendale, California	191692
Huntington Beach, California	191038
Amarillo, Texas	190666
Columbus, Georgia	190570
Grand Rapids, Michigan	188036
Salt Lake City, Utah	186433
Worcester, Massachusetts	180891
Tallahassee, Florida	181050
Huntsville, Alabama	180395
Newport News, Virginia	180955
Knoxville, Tennessee	178134
Providence, Rhode Island	177770
Grand Prairie, Texas	175468
Brownsville, Texas	174729
Santa Rosa, California	175038
Overland Park, Kansas	173329
Jackson, Mississippi	173551
Garden Grove, California	170958
Chattanooga, Tennessee	170322
Oceanside, California	167547
Vancouver, Washington	167159
Rancho Cucamonga, California	165380
Fort Lauderdale, Florida	165754
Port St. Lucie, Florida	164203
Ontario, California	163936
Tempe, Arizona	161774
Springfield, Missouri	159341
Lancaster, California	156649
Eugene, Oregon	156431
Macon-Bibb County, Georgia	155783
Pembroke Pines, Florida	154898
Salem, Oregon	154931
Peoria, Arizona	154048
Cape Coral, Florida	154309
Sioux Falls, South Dakota	153978
Springfield, Massachusetts	153132
Elk Grove, California	152995
Rockford, Illinois	153285
Corona, California	152315
Palmdale, California	152733
Salinas, California	150607
Pasadena, Texas	149307
Pomona, California	149061
Joliet, Illinois	147308
Paterson, New Jersey	146181
Kansas City, Kansas	145783
Fort Collins, Colorado	144879
Syracuse, New York	145150
Torrance, California	145151
Bridgeport, Connecticut	144246
Hayward, California	144427
Escondido, California	143976
Lakewood, Colorado	142600
Naperville, Illinois	142170
Dayton, Ohio	141989
Hollywood, Florida	140709
Alexandria, Virginia	139998
Sunnyvale, California	140060
Mesquite, Texas	139701
Hampton, Virginia	137464
Savannah, Georgia	136918
Pasadena, California	137114
Orange, California	136776
Cary, North Carolina	135840
Fullerton, California	135233
Warren, Michigan	134070
Clarksville, Tennessee	132901
McKinney, Texas	131152
McAllen, Texas	131547
Columbia, South Carolina	130421
New Haven, Connecticut	129884
Sterling Heights, Michigan	129675
West Valley City, Utah	129489
Killeen, Texas	127747
Bellevue, Washington	127885
Topeka, Kansas	127630
Cedar Rapids, Iowa	126580
Thousand Oaks, California	126490
Olathe, Kansas	125922
