date,temperature
1967-01-02,34
1967-01-03,35
1967-01-04,37
1967-01-05,30
1967-01-06,26
1967-01-07,35
1967-01-08,49
1967-01-09,33
1967-01-10,31
1967-01-11,29
1967-01-12,22
1967-01-13,29
1967-01-14,49
1967-01-15,41
1967-01-16,30
1967-01-17,27
1967-01-18,28
1967-01-19,20
1967-01-20,15
1967-01-21,30
1967-01-22,34
1967-01-23,44
1967-01-24,44
1967-01-25,59
1967-01-26,44
1967-01-27,55
1967-01-28,33
1967-01-29,32
1967-01-30,27
1967-01-31,21
1967-02-01,33
1967-02-02,37
1967-02-03,31
1967-02-04,23
1967-02-05,37
1967-02-06,37
1967-02-07,18
1967-02-08,12
1967-02-09,17
1967-02-10,29
1967-02-11,31
1967-02-12,24
1967-02-13,16
1967-02-14,27
1967-02-15,49
1967-02-16,48
1967-02-17,25
1967-02-18,25
1967-02-19,29
1967-02-20,30
1967-02-21,34
1967-02-22,21
1967-02-23,32
1967-02-24,22
1967-02-25,11
1967-02-26,17
1967-02-27,17
1967-02-28,37
1967-03-01,20
1967-03-02,23
1967-03-03,45
1967-03-04,43
1967-03-05,36
1967-03-06,42
1967-03-07,36
1967-03-08,29
1967-03-09,32
1967-03-10,39
1967-03-11,53
1967-03-12,47
1967-03-13,40
1967-03-14,49
1967-03-15,46
1967-03-16,31
1967-03-17,29
1967-03-18,20
1967-03-19,24
1967-03-20,31
1967-03-21,32
1967-03-22,32
1967-03-23,37
1967-03-24,38
1967-03-25,39
1967-03-26,38
1967-03-27,39
1967-03-28,42
1967-03-29,47
1967-03-30,38
1967-03-31,40
1967-04-01,50
1967-04-02,51
1967-04-03,62
1967-04-04,38
1967-04-05,42
1967-04-06,52
1967-04-07,56
1967-04-08,46
1967-04-09,43
1967-04-10,65
1967-04-11,39
1967-04-12,35
1967-04-13,42
1967-04-14,50
1967-04-15,68
1967-04-16,65
1967-04-17,49
1967-04-18,59
1967-04-19,45
1967-04-20,46
1967-04-21,55
1967-04-22,61
1967-04-23,49
1967-04-24,57
1967-04-25,41
1967-04-26,47
1967-04-27,43
1967-04-28,44
1967-04-29,49
1967-04-30,47
1967-05-01,57
1967-05-02,62
1967-05-03,48
1967-05-04,42
1967-05-05,47
1967-05-06,56
1967-05-07,45
1967-05-08,47
1967-05-09,45
1967-05-10,43
1967-05-11,51
1967-05-12,53
1967-05-13,51
1967-05-14,50
1967-05-15,56
1967-05-16,43
1967-05-17,40
1967-05-18,43
1967-05-19,50
1967-05-20,59
1967-05-21,52
1967-05-22,48
1967-05-23,50
1967-05-24,48
1967-05-25,47
1967-05-26,47
1967-05-27,57
1967-05-28,61
1967-05-29,57
1967-05-30,52
1967-05-31,56
1967-06-01,49
1967-06-02,48
1967-06-03,55
1967-06-04,55
1967-06-05,58
1967-06-06,59
1967-06-07,61
1967-06-08,63
1967-06-09,62
1967-06-10,67
1967-06-11,67
1967-06-12,65
1967-06-13,72
1967-06-14,63
1967-06-15,68
1967-06-16,69
1967-06-17,72
1967-06-18,73
1967-06-19,68
1967-06-20,65
1967-06-21,67
1967-06-22,66
1967-06-23,70
1967-06-24,71
1967-06-25,74
1967-06-26,62
1967-06-27,59
1967-06-28,63
1967-06-29,62
1967-06-30,66
1967-07-01,68
1967-07-02,68
1967-07-03,69
1967-07-04,65
1967-07-05,59
1967-07-06,66
1967-07-07,65
1967-07-08,70
1967-07-09,72
1967-07-10,74
1967-07-11,74
1967-07-12,71
1967-07-13,72
1967-07-14,65
1967-07-15,68
1967-07-16,62
1967-07-17,65
1967-07-18,65
1967-07-19,65
1967-07-20,72
1967-07-21,65
1967-07-22,63
1967-07-23,69
1967-07-24,73
1967-07-25,75
1967-07-26,74
1967-07-27,70
1967-07-28,72
1967-07-29,70
1967-07-30,69
1967-07-31,68
1967-08-01,71
1967-08-02,71
1967-08-03,74
1967-08-04,73
1967-08-05,70
1967-08-06,69
1967-08-07,67
1967-08-08,70
1967-08-09,70
1967-08-10,72
1967-08-11,65
1967-08-12,65
1967-08-13,64
1967-08-14,60
1967-08-15,62
1967-08-16,61
1967-08-17,62
1967-08-18,67
1967-08-19,74
1967-08-20,69
1967-08-21,64
1967-08-22,69
1967-08-23,66
1967-08-24,64
1967-08-25,68
1967-08-26,70
1967-08-27,72
1967-08-28,65
1967-08-29,64
1967-08-30,62
1967-08-31,67
1967-09-01,57
1967-09-02,61
1967-09-03,49
1967-09-04,56
1967-09-05,60
1967-09-06,59
1967-09-07,62
1967-09-08,62
1967-09-09,67
1967-09-10,62
1967-09-11,48
1967-09-12,46
1967-09-13,50
1967-09-14,52
1967-09-15,56
1967-09-16,68
1967-09-17,66
1967-09-18,60
1967-09-19,64
1967-09-20,65
1967-09-21,70
1967-09-22,68
1967-09-23,54
1967-09-24,47
1967-09-25,48
1967-09-26,44
1967-09-27,56
1967-09-28,69
1967-09-29,67
1967-09-30,44
1967-10-01,50
1967-10-02,43
1967-10-03,50
1967-10-04,55
1967-10-05,58
1967-10-06,68
1967-10-07,51
1967-10-08,51
1967-10-09,62
1967-10-10,60
1967-10-11,45
1967-10-12,50
1967-10-13,39
1967-10-14,49
1967-10-15,50
1967-10-16,56
1967-10-17,53
1967-10-18,65
1967-10-19,42
1967-10-20,33
1967-10-21,43
1967-10-22,45
1967-10-23,36
1967-10-24,42
1967-10-25,59
1967-10-26,38
1967-10-27,39
1967-10-28,37
1967-10-29,34
1967-10-30,37
1967-10-31,38
1967-11-01,43
1967-11-02,59
1967-11-03,59
1967-11-04,53
1967-11-05,37
1967-11-06,27
1967-11-07,33
1967-11-08,31
1967-11-09,32
1967-11-10,32
1967-11-11,43
1967-11-12,54
1967-11-13,46
1967-11-14,39
1967-11-15,32
1967-11-16,23
1967-11-17,35
1967-11-18,45
1967-11-19,44
1967-11-20,36
1967-11-21,36
1967-11-22,41
1967-11-23,45
1967-11-24,26
1967-11-25,45
1967-11-26,31
1967-11-27,42
1967-11-28,31
1967-11-29,25
1967-11-30,33
1967-12-01,19
1967-12-02,16
1967-12-03,35
1967-12-04,34
1967-12-05,30
1967-12-06,39
1967-12-07,39
1967-12-08,38
1967-12-09,36
1967-12-10,41
1967-12-11,40
1967-12-12,44
1967-12-13,33
1967-12-14,42
1967-12-15,34
1967-12-16,30
1967-12-17,27
1967-12-18,41
1967-12-19,46
1967-12-20,33
1967-12-21,41
1967-12-22,60
1967-12-23,29
1967-12-24,23
1967-12-25,26
1967-12-26,39
1967-12-27,27
1967-12-28,32
1967-12-29,34
1967-12-30,24
1967-12-31,29
1968-01-01,26
1968-01-02,7
1968-01-03,25
1968-01-04,34
1968-01-05,12
1968-01-06,24
1968-01-07,29
1968-01-08,8
1968-01-09,15
1968-01-10,21
1968-01-11,19
1968-01-12,8
1968-01-13,23
1968-01-14,43
1968-01-15,29
1968-01-16,23
1968-01-17,20
1968-01-18,21
1968-01-19,25
1968-01-20,31
1968-01-21,31
1968-01-22,27
1968-01-23,30
1968-01-24,28
1968-01-25,25
1968-01-26,23
1968-01-27,27
1968-01-28,35
1968-01-29,37
1968-01-30,43
1968-01-31,44
1968-02-01,37
1968-02-02,41
1968-02-03,36
1968-02-04,31
1968-02-05,34
1968-02-06,35
1968-02-07,30
1968-02-08,31
1968-02-09,34
1968-02-10,16
1968-02-11,11
1968-02-12,18
1968-02-13,21
1968-02-14,20
1968-02-15,22
1968-02-16,28
1968-02-17,35
1968-02-18,18
1968-02-19,25
1968-02-20,28
1968-02-21,10
1968-02-22,14
1968-02-23,20
1968-02-24,28
1968-02-25,21
1968-02-26,24
1968-02-27,19
1968-02-28,24
1968-02-29,37
1968-03-01,30
1968-03-02,30
1968-03-03,22
1968-03-04,32
1968-03-05,37
1968-03-06,40
1968-03-07,31
1968-03-08,33
1968-03-09,46
1968-03-10,50
1968-03-11,44
1968-03-12,32
1968-03-13,38
1968-03-14,25
1968-03-15,33
1968-03-16,43
1968-03-17,48
1968-03-18,43
1968-03-19,47
1968-03-20,46
1968-03-21,48
1968-03-22,52
1968-03-23,59
1968-03-24,32
1968-03-25,36
1968-03-26,42
1968-03-27,44
1968-03-28,47
1968-03-29,54
1968-03-30,60
1968-03-31,53
1968-04-01,49
1968-04-02,39
1968-04-03,49
1968-04-04,55
1968-04-05,51
1968-04-06,38
1968-04-07,38
1968-04-08,53
1968-04-09,64
1968-04-10,53
1968-04-11,47
1968-04-12,57
1968-04-13,54
1968-04-14,52
1968-04-15,51
1968-04-16,46
1968-04-17,52
1968-04-18,51
1968-04-19,59
1968-04-20,61
1968-04-21,57
1968-04-22,52
1968-04-23,51
1968-04-24,52
1968-04-25,45
1968-04-26,45
1968-04-27,54
1968-04-28,40
1968-04-29,48
1968-04-30,47
1968-05-01,48
1968-05-02,45
1968-05-03,52
1968-05-05,53
1968-05-06,45
1968-05-07,43
1968-05-08,42
1968-05-09,54
1968-05-10,60
1968-05-11,62
1968-05-12,68
1968-05-13,59
1968-05-14,51
1968-05-15,56
1968-05-16,61
1968-05-17,61
1968-05-18,64
1968-05-19,57
1968-05-20,53
1968-05-21,52
1968-05-22,52
1968-05-23,59
1968-05-24,60
1968-05-25,58
1968-05-26,50
1968-05-27,52
1968-05-28,54
1968-05-29,52
1968-05-30,61
1968-05-31,53
1968-06-01,63
1968-06-02,66
1968-06-03,61
1968-06-04,57
1968-06-05,57
1968-06-06,63
1968-06-07,64
1968-06-08,70
1968-06-09,70
1968-06-10,69
1968-06-11,66
1968-06-12,63
1968-06-13,63
1968-06-14,58
1968-06-15,65
1968-06-16,68
1968-06-17,63
1968-06-18,57
1968-06-19,68
1968-06-20,63
1968-06-21,56
1968-06-22,64
1968-06-23,75
1968-06-24,74
1968-06-25,72
1968-06-26,77
1968-06-27,69
1968-06-28,63
1968-06-29,69
1968-06-30,68
1968-07-01,75
1968-07-02,77
1968-07-03,69
1968-07-04,65
1968-07-05,60
1968-07-06,69
1968-07-07,65
1968-07-08,68
1968-07-09,67
1968-07-10,73
1968-07-11,71
1968-07-12,69
1968-07-13,74
1968-07-14,73
1968-07-15,73
1968-07-16,76
1968-07-17,76
1968-07-18,75
1968-07-19,75
1968-07-20,68
1968-07-21,63
1968-07-22,63
1968-07-23,73
1968-07-24,74
1968-07-25,75
1968-07-26,70
1968-07-27,75
1968-07-28,71
1968-07-29,69
1968-07-30,67
1968-07-31,66
1968-08-01,74
1968-08-02,74
1968-08-03,72
1968-08-04,72
1968-08-05,75
1968-08-06,73
1968-08-07,79
1968-08-08,73
1968-08-09,76
1968-08-10,75
1968-08-11,65
1968-08-12,57
1968-08-13,61
1968-08-14,72
1968-08-15,71
1968-08-16,73
1968-08-17,76
1968-08-18,74
1968-08-19,74
1968-08-20,70
1968-08-21,75
1968-08-22,71
1968-08-23,75
1968-08-24,75
1968-08-25,73
1968-08-26,64
1968-08-27,66
1968-08-28,56
1968-08-29,55
1968-08-30,52
1968-08-31,52
1968-09-01,59
1968-09-02,61
1968-09-03,59
1968-09-04,63
1968-09-05,68
1968-09-06,69
1968-09-07,61
1968-09-08,56
1968-09-09,58
1968-09-10,70
1968-09-11,62
1968-09-12,58
1968-09-13,55
1968-09-14,59
1968-09-15,55
1968-09-16,56
1968-09-17,59
1968-09-18,64
1968-09-19,58
1968-09-20,53
1968-09-21,57
1968-09-22,57
1968-09-23,58
1968-09-24,61
1968-09-25,67
1968-09-26,68
1968-09-27,62
1968-09-28,62
1968-09-29,52
1968-09-30,48
1968-10-01,50
1968-10-02,58
1968-10-03,65
1968-10-04,51
1968-10-05,40
1968-10-07,57
1968-10-08,50
1968-10-09,59
1968-10-10,58
1968-10-11,59
1968-10-12,57
1968-10-13,59
1968-10-14,60
1968-10-15,60
1968-10-16,57
1968-10-17,59
1968-10-18,66
1968-10-19,70
1968-10-20,56
1968-10-21,49
1968-10-22,42
1968-10-23,51
1968-10-24,55
1968-10-25,47
1968-10-26,47
1968-10-27,38
1968-10-28,48
1968-10-30,41
1968-10-31,31
1968-11-01,38
1968-11-02,47
1968-11-03,50
1968-11-04,52
1968-11-05,54
1968-11-06,54
1968-11-07,53
1968-11-08,50
1968-11-09,37
1968-11-10,33
1968-11-11,32
1968-11-12,33
1968-11-13,37
1968-11-14,31
1968-11-15,45
1968-11-16,50
1968-11-17,48
1968-11-18,56
1968-11-19,40
1968-11-20,32
1968-11-21,27
1968-11-22,35
1968-11-23,30
1968-11-24,42
1968-11-25,36
1968-11-26,36
1968-11-27,48
1968-11-28,48
1968-11-29,61
1968-11-30,43
1968-12-01,28
1968-12-02,40
1968-12-03,38
1968-12-04,52
1968-12-05,36
1968-12-06,27
1968-12-07,32
1968-12-08,27
1968-12-09,26
1968-12-10,15
1968-12-11,12
1968-12-12,19
1968-12-13,42
1968-12-14,48
1968-12-15,30
1968-12-16,22
1968-12-17,25
1968-12-18,26
1968-12-19,30
1968-12-20,32
1968-12-21,38
